,,,,,,,,,,,,,,,,,,,,
,VERSION 4 as of 24th Oct,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Legend,,0=No access,1=Read Only,2=Create/Edit,3=Deactivate,4=Delete/ Void (if possible),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Roles,,,,,,,,,,,,,,,,,
,System Components,iDempiere Name,Clinic Admin,Cashier Lite,Cashier/ Registration Basic,Cashier/ Registration Basic + Price Editing,Cashier/ Registration Advanced,Inventory/ Pharmacy Advanced,Inventory/ Pharmacy Basic,Clinician/Nurse Basic,Clinician/ Nurse Advanced,Triage,Lab/ Radiology Basic,Lab/ Radiology Advanced,Accounting,OTC Only,Clinic User,Registration,Starter,All combinations of roles created manualy
,R: Services sold,Services Charged Report_BH Services Charged Report,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,
,R: Products and prices,Products and Prices_10000006,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,
,R: Income and Expense,Income & Expenses_10000004,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
,R: MOH 705A,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: MOH 705B,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: MOH 706,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: MOH 717,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: MOH 747A,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
,R: Opening & Closing Stock,Value of Opening and Closing Stock_BH Value of Opening and Closing Stock ,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,
,R: Products to be ordered,Value of Opening and Closing Stock_BH Value of Opening and Closing Stock ,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,
,R: Stock to be ordered,Stock Discrepancy Report_BH Stock Discrepancy Report,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,
,R; Purchased Stocks,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,
,R: Donor Fund,Donor Fund Report_BH Donor Fund Report,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
,R: Diagnosis,Diagnosis Report_BH Diagnosis Report,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,
,R: Receipt (in Open Balance),Debt Payment Receipt,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,
,R: Payment Trail,Payment Trail,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,
,R: Open Balances,Open Balance List,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
,R: Cashier Transaction Differences,?,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
,R: Cashier Patient Transactions,,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
,R: Daily Cashier Collections,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
,R: Bill Invoice,,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,
,R: Total balance invoice,Open Balance Invoice,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,
,R: Changes to Inventory,,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,
,R: Inventory Quantity Report,,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,
,R: Expired Products List,,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,
,R: Patient List,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,R: Expense List,,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
,R: OTC Sales,,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,
,R: Voided Transactions List,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,R: Deleted Visit Products/Services,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,R: In-Patient Report,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
,Running Reports: All Dates,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
,,,,,,,,,,,,,,,,,,,,
,All Reports,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Visit Views:,,,,,,,,,,,,,,,,,,,
,VV: My Queue,,1,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,1,,,Standard,Standard,
,VV: All Visit/Bills,,Standard,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,
,VV: Completed,,1,,1,1,1,1,1,1,1,1,1,1,Standard,,,1,1,
,VV: Medical,,1,,0,0,0,0,0,1,1,0,0,0,0,,,1,1,
